id:ID(ORGANISATION_ID)|type:string|name:string|url:string|:LABEL
0|"company"|"Kam_Air"|"http://dbpedia.org/resource/Kam_Air"|Organisation
1|"company"|"Balkh_Airlines"|"http://dbpedia.org/resource/Balkh_Airlines"|Organisation
2|"company"|"Khyber_Afghan_Airlines"|"http://dbpedia.org/resource/Khyber_Afghan_Airlines"|Organisation
3|"company"|"MarcoPolo_Airways"|"http://dbpedia.org/resource/MarcoPolo_Airways"|Organisation
4|"company"|"Pamir_Airways"|"http://dbpedia.org/resource/Pamir_Airways"|Organisation
5|"company"|"Bakhtar_Afghan_Airlines"|"http://dbpedia.org/resource/Bakhtar_Afghan_Airlines"|Organisation
6|"company"|"Safi_Airways"|"http://dbpedia.org/resource/Safi_Airways"|Organisation
7|"company"|"Air_Algérie"|"http://dbpedia.org/resource/Air_Algérie"|Organisation
8|"company"|"Khalifa_Airways"|"http://dbpedia.org/resource/Khalifa_Airways"|Organisation
9|"company"|"Tassili_Airlines"|"http://dbpedia.org/resource/Tassili_Airlines"|Organisation
10|"company"|"Antinea_Airlines"|"http://dbpedia.org/resource/Antinea_Airlines"|Organisation
11|"company"|"Star_Aviation"|"http://dbpedia.org/resource/Star_Aviation"|Organisation
12|"company"|"TAAG_Angola_Airlines"|"http://dbpedia.org/resource/TAAG_Angola_Airlines"|Organisation
13|"company"|"Aero_Tropical"|"http://dbpedia.org/resource/Aero_Tropical"|Organisation
14|"company"|"Angola_Air_Charter"|"http://dbpedia.org/resource/Angola_Air_Charter"|Organisation
15|"company"|"Alada"|"http://dbpedia.org/resource/Alada"|Organisation
16|"company"|"Air_Gemini"|"http://dbpedia.org/resource/Air_Gemini"|Organisation
17|"company"|"Aeronáutica_(Angola)"|"http://dbpedia.org/resource/Aeronáutica_(Angola)"|Organisation
18|"company"|"Diexim_Expresso"|"http://dbpedia.org/resource/Diexim_Expresso"|Organisation
19|"company"|"SonAir"|"http://dbpedia.org/resource/SonAir"|Organisation
20|"company"|"Air_26"|"http://dbpedia.org/resource/Air_26"|Organisation
21|"company"|"Aerolíneas_Argentinas"|"http://dbpedia.org/resource/Aerolíneas_Argentinas"|Organisation
22|"company"|"Austral_Líneas_Aéreas"|"http://dbpedia.org/resource/Austral_Líneas_Aéreas"|Organisation
23|"company"|"Líneas_Aéreas_Privadas_Argentinas"|"http://dbpedia.org/resource/Líneas_Aéreas_Privadas_Argentinas"|Organisation
24|"company"|"Aero_VIP_(Argentina)"|"http://dbpedia.org/resource/Aero_VIP_(Argentina)"|Organisation
25|"company"|"CATA_Línea_Aérea"|"http://dbpedia.org/resource/CATA_Línea_Aérea"|Organisation
26|"company"|"LADE"|"http://dbpedia.org/resource/LADE"|Organisation
27|"company"|"Líneas_Aéreas_Federales"|"http://dbpedia.org/resource/Líneas_Aéreas_Federales"|Organisation
28|"company"|"LAN_Argentina"|"http://dbpedia.org/resource/LAN_Argentina"|Organisation
29|"company"|"Sol_Líneas_Aéreas"|"http://dbpedia.org/resource/Sol_Líneas_Aéreas"|Organisation
30|"company"|"Andes_Líneas_Aéreas"|"http://dbpedia.org/resource/Andes_Líneas_Aéreas"|Organisation
31|"company"|"Silver_Sky_Airlines"|"http://dbpedia.org/resource/Silver_Sky_Airlines"|Organisation
32|"company"|"Dinar_Líneas_Aéreas"|"http://dbpedia.org/resource/Dinar_Líneas_Aéreas"|Organisation
33|"company"|"Aerochaco"|"http://dbpedia.org/resource/Aerochaco"|Organisation
34|"company"|"Trans_Australia_Airlines"|"http://dbpedia.org/resource/Trans_Australia_Airlines"|Organisation
35|"company"|"Ansett_Australia"|"http://dbpedia.org/resource/Ansett_Australia"|Organisation
36|"company"|"Skywest_Airlines"|"http://dbpedia.org/resource/Skywest_Airlines"|Organisation
37|"company"|"Virgin_Blue"|"http://dbpedia.org/resource/Virgin_Blue"|Organisation
38|"company"|"Jetstar_Airways"|"http://dbpedia.org/resource/Jetstar_Airways"|Organisation
39|"company"|"Kendell_Airlines"|"http://dbpedia.org/resource/Kendell_Airlines"|Organisation
40|"company"|"Impulse_Airlines"|"http://dbpedia.org/resource/Impulse_Airlines"|Organisation
41|"company"|"Sunshine_Express_Airlines"|"http://dbpedia.org/resource/Sunshine_Express_Airlines"|Organisation
42|"company"|"Norfolk_Jet_Express"|"http://dbpedia.org/resource/Norfolk_Jet_Express"|Organisation
43|"company"|"Alliance_Airlines"|"http://dbpedia.org/resource/Alliance_Airlines"|Organisation
44|"company"|"Aeropelican_Air_Services"|"http://dbpedia.org/resource/Aeropelican_Air_Services"|Organisation
45|"company"|"Aero-Tropics_Air_Services"|"http://dbpedia.org/resource/Aero-Tropics_Air_Services"|Organisation
46|"company"|"Emu_Airways"|"http://dbpedia.org/resource/Emu_Airways"|Organisation
47|"company"|"Cobham_Aviation_Services_Australia"|"http://dbpedia.org/resource/Cobham_Aviation_Services_Australia"|Organisation
48|"company"|"Rossair_(Australia)"|"http://dbpedia.org/resource/Rossair_(Australia)"|Organisation
49|"company"|"Airlines_of_Tasmania"|"http://dbpedia.org/resource/Airlines_of_Tasmania"|Organisation
50|"company"|"Tasman_Cargo_Airlines"|"http://dbpedia.org/resource/Tasman_Cargo_Airlines"|Organisation
51|"company"|"Australian_air_Express"|"http://dbpedia.org/resource/Australian_air_Express"|Organisation
52|"company"|"Toll_Aviation"|"http://dbpedia.org/resource/Toll_Aviation"|Organisation
53|"company"|"Skippers_Aviation"|"http://dbpedia.org/resource/Skippers_Aviation"|Organisation
54|"company"|"Skytrans_Airlines"|"http://dbpedia.org/resource/Skytrans_Airlines"|Organisation
55|"company"|"East-West_Airlines_(Australia)"|"http://dbpedia.org/resource/East-West_Airlines_(Australia)"|Organisation
56|"company"|"Regional_Express_Airlines"|"http://dbpedia.org/resource/Regional_Express_Airlines"|Organisation
57|"company"|"QantasLink"|"http://dbpedia.org/resource/QantasLink"|Organisation
58|"company"|"Flight_West_Airlines"|"http://dbpedia.org/resource/Flight_West_Airlines"|Organisation
59|"company"|"Brindabella_Airlines"|"http://dbpedia.org/resource/Brindabella_Airlines"|Organisation
60|"company"|"Tasair"|"http://dbpedia.org/resource/Tasair"|Organisation
61|"company"|"OzJet"|"http://dbpedia.org/resource/OzJet"|Organisation
62|"company"|"Eastern_Australia_Airlines"|"http://dbpedia.org/resource/Eastern_Australia_Airlines"|Organisation
63|"company"|"Eco_Airlines"|"http://dbpedia.org/resource/Eco_Airlines"|Organisation
64|"company"|"Sunstate_Airlines"|"http://dbpedia.org/resource/Sunstate_Airlines"|Organisation
65|"company"|"HeavyLift_Cargo_Airlines"|"http://dbpedia.org/resource/HeavyLift_Cargo_Airlines"|Organisation
66|"company"|"Palm_Beach_Seaplanes"|"http://dbpedia.org/resource/Palm_Beach_Seaplanes"|Organisation
67|"company"|"SkyAirWorld"|"http://dbpedia.org/resource/SkyAirWorld"|Organisation
68|"company"|"Pacific_Air_Express"|"http://dbpedia.org/resource/Pacific_Air_Express"|Organisation
69|"company"|"RMA_Gold_Airways"|"http://dbpedia.org/resource/RMA_Gold_Airways"|Organisation
70|"company"|"Tiger_Airways_Australia"|"http://dbpedia.org/resource/Tiger_Airways_Australia"|Organisation
71|"company"|"Express_Freighters_Australia"|"http://dbpedia.org/resource/Express_Freighters_Australia"|Organisation
72|"company"|"V_Australia"|"http://dbpedia.org/resource/V_Australia"|Organisation
73|"company"|"Skytraders"|"http://dbpedia.org/resource/Skytraders"|Organisation
74|"company"|"Airtex_Aviation"|"http://dbpedia.org/resource/Airtex_Aviation"|Organisation
75|"company"|"Sharp_Airlines"|"http://dbpedia.org/resource/Sharp_Airlines"|Organisation
76|"company"|"Toll_Priority"|"http://dbpedia.org/resource/Toll_Priority"|Organisation
77|"company"|"AlphaJet_Airlines"|"http://dbpedia.org/resource/AlphaJet_Airlines"|Organisation
78|"company"|"Strategic_Airlines"|"http://dbpedia.org/resource/Strategic_Airlines"|Organisation
79|"company"|"Lauda_Air"|"http://dbpedia.org/resource/Lauda_Air"|Organisation
80|"company"|"Tyrolean_Airways"|"http://dbpedia.org/resource/Tyrolean_Airways"|Organisation
81|"company"|"Niki_(airline)"|"http://dbpedia.org/resource/Niki_(airline)"|Organisation
82|"company"|"Air_Alps"|"http://dbpedia.org/resource/Air_Alps"|Organisation
83|"company"|"Welcome_Air"|"http://dbpedia.org/resource/Welcome_Air"|Organisation
84|"company"|"Amerer_Air"|"http://dbpedia.org/resource/Amerer_Air"|Organisation
