id:ID(COMPANY_ID)|name:string|url:string|:LABEL
0|Kam_Air|http://dbpedia.org/resource/Kam_Air|Company
1|Balkh_Airlines|http://dbpedia.org/resource/Balkh_Airlines|Company
2|Khyber_Afghan_Airlines|http://dbpedia.org/resource/Khyber_Afghan_Airlines|Company
3|MarcoPolo_Airways|http://dbpedia.org/resource/MarcoPolo_Airways|Company
4|Pamir_Airways|http://dbpedia.org/resource/Pamir_Airways|Company
5|Bakhtar_Afghan_Airlines|http://dbpedia.org/resource/Bakhtar_Afghan_Airlines|Company
6|Safi_Airways|http://dbpedia.org/resource/Safi_Airways|Company
7|Air_Algérie|http://dbpedia.org/resource/Air_Algérie|Company
8|Khalifa_Airways|http://dbpedia.org/resource/Khalifa_Airways|Company
9|Tassili_Airlines|http://dbpedia.org/resource/Tassili_Airlines|Company
10|Antinea_Airlines|http://dbpedia.org/resource/Antinea_Airlines|Company
11|Star_Aviation|http://dbpedia.org/resource/Star_Aviation|Company
12|TAAG_Angola_Airlines|http://dbpedia.org/resource/TAAG_Angola_Airlines|Company
13|Aero_Tropical|http://dbpedia.org/resource/Aero_Tropical|Company
14|Angola_Air_Charter|http://dbpedia.org/resource/Angola_Air_Charter|Company
15|Alada|http://dbpedia.org/resource/Alada|Company
16|Air_Gemini|http://dbpedia.org/resource/Air_Gemini|Company
17|Aeronáutica_(Angola)|http://dbpedia.org/resource/Aeronáutica_(Angola)|Company
18|Diexim_Expresso|http://dbpedia.org/resource/Diexim_Expresso|Company
19|SonAir|http://dbpedia.org/resource/SonAir|Company
20|Air_26|http://dbpedia.org/resource/Air_26|Company
21|Aerolíneas_Argentinas|http://dbpedia.org/resource/Aerolíneas_Argentinas|Company
22|Austral_Líneas_Aéreas|http://dbpedia.org/resource/Austral_Líneas_Aéreas|Company
23|Líneas_Aéreas_Privadas_Argentinas|http://dbpedia.org/resource/Líneas_Aéreas_Privadas_Argentinas|Company
24|Aero_VIP_(Argentina)|http://dbpedia.org/resource/Aero_VIP_(Argentina)|Company
25|CATA_Línea_Aérea|http://dbpedia.org/resource/CATA_Línea_Aérea|Company
26|LADE|http://dbpedia.org/resource/LADE|Company
27|Líneas_Aéreas_Federales|http://dbpedia.org/resource/Líneas_Aéreas_Federales|Company
28|LAN_Argentina|http://dbpedia.org/resource/LAN_Argentina|Company
29|Sol_Líneas_Aéreas|http://dbpedia.org/resource/Sol_Líneas_Aéreas|Company
30|Andes_Líneas_Aéreas|http://dbpedia.org/resource/Andes_Líneas_Aéreas|Company
31|Silver_Sky_Airlines|http://dbpedia.org/resource/Silver_Sky_Airlines|Company
32|Dinar_Líneas_Aéreas|http://dbpedia.org/resource/Dinar_Líneas_Aéreas|Company
33|Aerochaco|http://dbpedia.org/resource/Aerochaco|Company
34|Trans_Australia_Airlines|http://dbpedia.org/resource/Trans_Australia_Airlines|Company
35|Ansett_Australia|http://dbpedia.org/resource/Ansett_Australia|Company
36|Skywest_Airlines|http://dbpedia.org/resource/Skywest_Airlines|Company
37|Virgin_Blue|http://dbpedia.org/resource/Virgin_Blue|Company
38|Jetstar_Airways|http://dbpedia.org/resource/Jetstar_Airways|Company
39|Kendell_Airlines|http://dbpedia.org/resource/Kendell_Airlines|Company
40|Impulse_Airlines|http://dbpedia.org/resource/Impulse_Airlines|Company
41|Sunshine_Express_Airlines|http://dbpedia.org/resource/Sunshine_Express_Airlines|Company
42|Norfolk_Jet_Express|http://dbpedia.org/resource/Norfolk_Jet_Express|Company
43|Alliance_Airlines|http://dbpedia.org/resource/Alliance_Airlines|Company
